District,Total Enrollment,Total Revenue
AMANDA CLEARCREEK LOCAL SCH DIST,1562,20018
AMARILLO INDEPENDENT SCH DIST,33576,311111
AMBER-POCASSET SCH DIST 128,477,5249
AMBOY COMMUNITY UNIT SCHOOL DISTRICT 272,709,10259
AMBRIDGE AREA SCH DIST,2593,43956
AMELIA COUNTY SCHOOL,1810,17285
AMERICAN FALLS SCHOOL DISTRICT 381,1458,13996
AMERY SCHOOL DISTRICT,1512,22242
AMES COMMUNITY SCHOOL DISTRICT,4373,65307
AMESBURY PUBLIC SCHOOLS,2280,37788
AMHERST CENTRAL SCHOOL DIST,2943,53319
AMHERST COUNTY SCHOOL,4269,48519
AMHERST EX VLG SCH DIST,3733,43236
AMHERST IND SCH DIST 901,160,1898
AMHERST PUBLIC SCHOOL,1200,28092
AMHERST SCH DIST 119,358,4909
AMHERST SCHOOL DISTRICT,1196,23766
AMHERST-PELHAM REG SCH DIST,1441,36156
AMITE COUNTY SCHOOL DISTRICT,1054,13820
AMITY SCH DIST 4J,900,9429
AMITYVILLE UF SCH DIST,3249,85229
AMORY MUN SEP SCH DIST,1771,14311
AMPHITHEATER SCHOOL DISTRICT 10,13831,123023
AMSTERDAM ELEM DIST 75,168,1424
AMSTERDAM SCH DIST,3784,74543
ANACONDA ELEM SCH DIST 10,751,8440
ANACONDA H S DIST 10,321,3909
ANACORTES SCHOOL DISTRICT 103,2749,33541
ANADARKO SCH DIST 20,1932,18543
ANAHEIM ELEM SCH DIST,19164,211740
ANAHEIM UNION HIGH SCHOOL DIST,31659,364430
ANAHUAC IND SCH DIST 901,1222,15575
ANAMOOSE SCH DIST 14,107,1727
ANAMOSA COMMUNITY SCHOOL DISTRICT,1309,17573
ANCHOR BAY SCHOOL DIST,6132,66155
ANCHORAGE IND SCH DIST,380,7534
ANCHORAGE SCHOOL DISTRICT,48089,914050
ANDALUSIA CITY SCHOOL DISTRICT,1729,15797
ANDERSON CO SCH DIST,3928,38104
ANDERSON CO SCH DIST,6650,65922
ANDERSON CO SCH DIST 1,9625,88687
ANDERSON CO SCH DIST 2,3819,38722
ANDERSON CO SCH DIST 3,2638,27410
ANDERSON CO SCH DIST 4,2909,37738
ANDERSON CO SCH DIST 5,12767,137502
ANDERSON COMMUNITY SCHOOL CORPORATION,8504,101131
ANDERSON ELEM DIST 41,199,2293
ANDERSON SCH DIST 52,271,2372
ANDERSON UNION HIGH SCHOOL DIST,1885,22111
ANDERSON VALLEY UNIFIED SCH DIST,540,7967
ANDERSON-SHIRO CONS SCH DIST 901,823,10244
ANDES CENTRAL SCH DIST,100,4033
ANDES CENTRAL SCHOOL DISTRICT 11-1,374,7637
ANDOVER CENTRAL SCH DIST,358,8527
ANDOVER REG SCH DIST,560,17653
ANDOVER TOWN SCH DIST,291,4442
ANDOVER TOWN SCHOOLS,275,5172
ANDOVER TOWN SCHS,6076,114674
ANDOVER UNIFIED SCHOOL DISTRICT 385,8759,61667
ANDREW COMMUNITY SCHOOL DISTRICT,278,3741
ANDREWS IND SCH DIST 901,4015,87341
ANGELICA-BELMONT CENTRAL SCHOOL DISTRICT,570,16014
ANGLETON IND SCH DIST 902,6734,70362
ANIMAS SCHOOL DISTRICT,151,3121
ANKENY COMMUNITY SCHOOL DISTRICT,10719,129892
ANN ARBOR CITY SCH DIST 1,16761,243584
ANNA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 37,758,7182
ANNA IND SCH DIST 902,2874,30327
ANNA JONESBORO COMMUNITY SCHOOL DISTRICT 81,483,6253
ANNA LOCAL SCH DIST,1236,13889
ANNANDALE SCH DIST 876,1767,21798
ANNAWAN COMMUNITY UNIT SCHOOL DISTRICT 226,383,4802
ANNE ARUNDEL CO SCHS,79518,1188415
ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),377,13950
ANNEX SCH DIST 29,83,1307
ANNISTON CITY SCHOOL DISTRICT,2141,23569
ANNVILLE CLEONA SCH DIST,1475,21848
ANOKA-HENNEPIN JT SCH DIST 11,37951,508155
ANSELMO-MERNA SCH DIST 15,258,4389
ANSLEY SCH DIST 44,160,3592
ANSON CO SCH,3526,38334
ANSON IND SCH DIST 901,714,8350
ANSONIA LOCAL SCH DIST,771,8952
ANSONIA PUBLIC SCHOOLS,2399,45092
ANTELOPE ELEM SCH DIST,712,7235
ANTELOPE UNION HIGH SCHOOL DISTRICT  50,256,3135
ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,24619,262153
ANTHONY HARPER UNIFIED SCHOOL DISTRICT 361,908,11680
ANTHONY IND SCHOOL DISTRICT 906,872,10218
ANTHONY WAYNE LOCAL SCHOOL DIST,4308,46196
ANTIETAM SCHOOL DIST,1059,16550
ANTIGO UNIFIED SCHOOL DISTRICT,2434,30581
ANTIOCH COMMUNITY CONSOLIDATED SCHOOL DISTRICT 34,2957,42386
ANTIOCH COMMUNITY HIGH SCHOOL DISTRICT 117,2817,59812
ANTIOCH UNIFIED SCH DIST,18352,180321
ANTLERS SCH DIST 13,1025,8406
ANTON IND SCH DIST 901,243,2738
ANTWERP LOCAL SCH DIST,691,8087
APACHE JUNCTION UNIFIED SCHOOL DISTRICT 43,4610,38403
APLINGTON PARKERSBURG COMMUNITY SCHOOL DISTRICT,864,10897
APOLLO-RIDGE SCH DIST,1251,22404
APPLE CREEK SCH DIST 39,125,762
APPLE SPRINGS IND SCHOOL DIST 905,202,2195
APPLE VALLEY UNIF SCH DIST,14401,132520
APPLETON AREA SCHOOL DISTRICT,16373,188196
APPLETON CITY SCH DIST R2,327,3534
APPLETON VILLAGE SCHOOLS,135,2146
APPLING CO SCH DIST,3688,38585
APPOMATTOX COUNTY SCHOOLS,2305,21121
APPOQUINIMINK SCHOOL DISTRICT,9877,125233
APTAKISKIC-TRIPP COMMUNITY CONSOLIDATED SCHOOL DISTRICT 102,2127,39098
AQUILLA IND SCH DIST 912,275,3506
AR WE VA COMMUNITY SCHOOL DISTRICT,308,4025
ARAB CITY SCHOOL DISTRICT,2565,23338
ARANSAS CO IND SCH DIST 901,3254,41715
ARANSAS PASS IND SCH DIST 901,1849,18435
ARAPAHO SCH DIST 5,400,4342
ARAPAHOE SCHOOL DISTRICT 18,331,5385
ARBON SCHOOL DISTRICT 383,20,352
ARBOR PARK SCHOOL DISTRICT 145,1454,19134
ARCADIA LOCAL SCH DIST,591,7230
ARCADIA SCHOOL DISTRICT,1189,16213
ARCADIA UNIFIED SCHOOL DISTRICT,9582,113308
ARCADIA VALLEY SCHOOL DIST R-2,993,11555
ARCADIA VIL SCH DIST 21,124,2940
ARCANUM BUTLER SCH DIST,1037,13853
ARCATA ELEM SCH DIST,1059,12336
ARCHBOLD AREA LOCAL SCH DIST,1216,15122
ARCHER CITY IND SCH DIST 901,485,6563
ARCHULETA CO SCHOOL DIST 50,1326,13146
ARCOHE UNION ELEM SCH DIST,374,3881
ARCOLA COMMUNITY UNIT SCHOOL DISTRICT 306,757,10025
ARDMORE SCH DIST 19,3146,32641
ARDSLEY UF SCH DIST,2089,63998
ARENA UNION ELEMENTARY/POINT ARENA JT UNION HIGH SCHOOL DISTRICT,500,8744
ARENAC EASTERN SCH DIST,187,2435
ARGENTA COMMUNITY UNIT SCHOOL DISTRICT 1,1043,10889
ARGO COMMUNITY HIGH SCHOOL DISTRICT 217,1862,42647
ARGONIA PUBLIC SCHOOL DISTRICT 359,180,2413
ARGOS COMMUNITY SCHOOLS,641,7392
ARGYLE CENTRAL SCHOOL DISTRICT,549,11985
ARGYLE INDEPENDENT SCH DISTRICT 910,2063,24794
ARGYLE SCHOOL DISTRICT,322,4474
ARICKAREE SCHOOL DIST R 2,107,2131
ARKADELPHIA SCH DIST,1976,21425
ARKANSAS CITY UNIFIED SCHOOL DISTRICT 470,2971,33309
ARKOMA SCH DIST 91,423,3212
ARKPORT CENTRAL SCHOOL DIST,460,10103
ARLEE ELEM SCH DIST JT & 8,325,5134
ARLEE H S DIST JT & 8,110,2166
Arlington,4907,43360
ARLINGTON CENTRAL SCH DIST,8801,197052
ARLINGTON COUNTY PUBLIC SCHOOLS,24559,549827
ARLINGTON HEIGHTS SCHOOL DISTRICT 25,5364,84735
ARLINGTON INDEPENDENT SCHOOL,63882,625280
ARLINGTON LOCAL SCH DIST,563,6901
ARLINGTON PUBLIC SCH DIST 24,590,8477
ARLINGTON PUBLIC SCHOOLS,5208,82838
ARLINGTON SCH DIST 3,137,2749
ARLINGTON SCHOOL DISTRICT 16,5528,60963
ARLINGTON SCHOOL DISTRICT 38-1,301,3649
ARLINGTON SCHOOL DISTRICT 47,253,3105
ARLINGTON TOWN SCH DIST,385,6845
ARMADA AREA SCH DIST,1926,20432
ARMONA UNION ELEMENTARY SCHOOL DISTRICT,1804,12146
ARMOREL SCHOOL DIST,433,6430
ARMOUR SCHOOL DISTRICT 21-1,173,2275
ARMSTRONG ELLIS C SCHOOL DISTRICT 61,82,1698
ARMSTRONG SCHOOL DIST,5263,93744
ARMSTRONG TOWNSHIP HIGH SCHOOL DISTRICT 225,116,2448
ARMSTRONG-RINGSTED COMMUNITY SCHOOL DISTRICT,441,7675
ARNETT SCH DIST 3,209,3285
ARNOLD SCH DIST 89,136,2916
AROMAS/SAN JUAN UNIFIED SCHOOL DISTRICT,1164,13130
ARP IND SCH DIST 901,870,9926
ARRIBA-FLAGLER CSD #20,195,2675
ARROWHEAD ELEM DIST 75,38,857
ARROWHEAD UNIFIED HIGH SCHOOL DISTRICT,2257,31122
ARTESIA SCH DIST,3884,52460
ARTHUR CO HIGH SCH DIST 500,107,2292
ARTHUR COMMUNITY UNIT SCHOOL DISTRICT 305,1230,14566
ARVIN UNION SCH DIST,3101,37259
ASBURY PARK SCHOOL DISTRICT,1970,83016
ASCENSION PARISH SCHOOL DISTRICT,21602,270276
ASH CREEK SCHOOL DISTRICT 53,28,528
ASH FORK UNIFIED SCHOOL DISTRICT 31,238,3593
ASH GROVE SCH DIST R 4,711,6817
ASHBURNHAM-WESTMINISTER REG SCHOOL DIST,2349,34848
ASHBY SCH DIST 261,253,3454
ASHDOWN SCH DIST 31,1446,14813
ASHE CO SCH,3240,33450
ASHEBORO CITY SCHOOLS,4850,43789
ASHER SCH DIST 112,274,2572
ASHEVILLE CITY SCHOOLS,4361,52601
ASHFORD TOWN SCHOOLS,415,8758
ASHLAND CITY SCH DIST,3146,44415
ASHLAND ELEM DIST 32J,75,1566
ASHLAND INDEP SCH DIST,3243,34321
ASHLAND PUBLIC SCH,2595,41553
ASHLAND SCH DIST 5,2809,36134
ASHLAND SCHOOL DISTRICT,2176,28012
ASHLAND TOWN SCH DIST,167,3041
ASHLAND UNIFIED SCHOOL DISTRICT 220,210,3140
ASHLAND-CHANDLERVILLE COMMUNITY UNIT SCHOOL DISTRICT 262,471,5465
ASHLAND-GREENWOOD SCH DIST 1,851,11282
ASHLEY COMM SCH DIST,265,3028
