District,Total Enrollment,Total Revenue
PRAIRIE FARM VILLAGE JOINT SCHOOL DISTRICT,365,5174
PRAIRIE GROVE SCHOOL DISTRICT 46,788,14724
PRAIRIE GROVE VALLEY SCH DIST 23,1840,20281
PRAIRIE HEIGHTS COMMUNITY SCHOOL CORPORATION,1369,16357
PRAIRIE HILL COMMUNITY CONSOLIDATED SCHOOL DISTRICT 133,748,8573
PRAIRIE HILLS UNIFIED SCHOOL DISTRICT 113,1153,14486
PRAIRIE HOME SCH DIST R-5,149,1816
PRAIRIE LEA IND SCH DIST 906,163,1999
PRAIRIE SCHOOL DIST RE-11,190,3305
PRAIRIE VALLEY COMMUNITY SCHOOL DISTRICT,609,8221
PRAIRIE VALLEY IND SCHOOL DIST 909,140,2084
PRAIRIE VIEW UNIFIED SCHOOL DISTRICT 362,934,13604
PRAIRIELAND IND SCH DISTRICT 912,1132,10857
PRAIRIEVIEW OGDEN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 197,241,3211
PRATT UNIFIED SCHOOL DISTRICT 382,1318,13937
PRATTSBURG CENTRAL SCH,416,9937
PREBLE-SHAWNEE LOCAL SCH DIST,1387,17490
PREMONT IND SCH DIST 905,507,7309
PRENTICE SCHOOL DISTRICT 3,449,6475
PRENTISS COUNTY SCHOOL DISTRICT,2364,21630
PRESCOTT COMMUNITY SCHOOL DISTRICT,89,1275
PRESCOTT SCH DIST 14,1009,13307
PRESCOTT SCHOOL DISTRICT,1350,19645
PRESCOTT SCHOOL DISTRICT 402 37,340,5016
PRESCOTT UNIFIED SCHOOL DISTRICT 1,4372,32196
PRESIDIO IND SCH DIST 902,1375,18536
PRESTON CO SCH DIST,4246,55461
PRESTON JOINT SCHOOL DISTRICT 201,2531,15692
PRESTON SCH DIST 5,570,4084
PRESTON TOWN SCHOOLS,418,12949
PRETTY PRAIRIE UNIFIED SCHOOL DISTRICT 311,281,3813
PRETTY WATER SCH DIST 34,261,2154
PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),92,3899
PRIDDY COMM SCH DIST 904,116,1597
PRIMERO REORG SCH DIST 2,197,4610
PRINCE EDWARD COUNTY SCHOOL,2189,25363
PRINCE GEORGES CO SCHS,127576,2113107
PRINCE WILLIAM CO SCHS,86641,1085884
PRINCETON CITY JOINT SCHOOL DISTRICT,359,4958
PRINCETON CITY SCH DIST,5634,101608
PRINCETON ELEM DISTRICT 115,1214,13565
PRINCETON HIGH SCHOOL DISTRICT 500,516,8764
PRINCETON IND SCH DISTRICT 911,3790,40720
PRINCETON IND SCHOOL DIST 477,3291,36979
PRINCETON JT UNIFIED SCH DIST,177,2773
PRINCETON REG SCH DIST,3541,92555
PRINCETON SCH DIST R 5,392,4753
PRINCETON TOWN SCHOOLS,103,2010
PRINCEVILLE COMMUNITY UNIT SCHOOL DISTRICT 326,772,8881
PRINGLE-MORSE CONSOLIDATED INDEPENDENT SCH DISTRICT 903,123,2880
PRIOR LAKE IND SCH DIST 719,7756,97703
PRITCHETT SCH DIST RE 3,37,1134
PROCTOR IND SCH DIST 704,1813,21509
PROCTOR TOWN SCH DIST,278,5361
PROFILE SCH DIST,250,6696
PROGRESO IND SCH DIST 910,2031,24871
PROPHETSTOWN-LYNDON COMMUNITY UNIT SCHOOL DISTRICT 3,898,9818
PROSPECT HEIGHTS SCHOOL DISTRICT 23,1571,26550
PROSPECT PARK BORO SCHOOL DIST,872,13803
PROSPECT SCH DIST 59,243,3276
PROSPER INDEP SCH DISTRICT 912,7076,98765
PROSSER SCHOOL DISTRICT 116,2837,31140
PROVIDENCE CITY SCHS,23907,461090
PROVINCETOWN TOWN SCH,111,5999
PROVISO TOWNSHIP HIGH SCHOOL DISTRICT 209,4605,107685
PROVO CITY SCH DIST,16960,127820
PRUE SCH DIST 50,328,2689
PRYOR ELEM SCHOOL DIST 2,51,1532
PRYOR SCH DIST 1,2683,24227
PT ORFORD LANGLOIS SCH DIST 2J,210,3539
PT PLEASANT BEACH BORO SCH DIST,847,17200
PUEBLO CO SCHOOL DIST 70,9310,87123
PUEBLO SCH DIST 60,17979,163964
PULASKI CO SCH DIST,1410,14426
PULASKI CO SCH DIST,8317,82588
PULASKI CO SCHS,4430,46446
PULASKI CO SPECIAL SCHOOL DIST,17261,219087
PULASKI COMMUNITY SCHOOL DISTRICT,3743,46663
PULASKI COUNTY SCHOOL DIST. R-4,607,5733
PULASKI CTL SCH DIST 1,1159,22757
PULLMAN SCHOOL DISTRICT 267,2684,29734
PUNXSUTAWNEY AREA SCHOOL DIST,2184,37490
PURCELL SCH DIST 15,1447,12122
PURCHASE LINE SCHOOL DIST,946,18966
PURDY SCH DIST R-2,718,6551
PUT IN BAY LOCAL SCH DIST,63,3124
PUTNAM CENTRAL SCHOOL DISTRICT,30,2129
PUTNAM CITY SCH DIST 1,19447,171377
PUTNAM CO SCH DIST,2809,41138
PUTNAM CO SCH DIST,9792,119181
PUTNAM CO SCH DIST,11219,97715
PUTNAM CO SCH DIST R-1,698,7462
PUTNAM COUNTY COMMUNITY UNIT SCHOOL DISTRICT NO 535,905,11410
PUTNAM COUNTY SCHOOL DISTRICT,11053,104937
PUTNAM TOWN SCHOOLS,1240,33908
PUTNAM VALLEY CTL SCHOOL DIST,1741,48327
PUTNEY CENTRAL SCH DIST,181,3645
PUXICO SCH DIST R 8,801,7405
PUYALLUP SCHOOL DISTRICT 3,21644,252248
PYMATUNING VALL LOC SCH DIST,1295,15248
QUABBIN REGION SCHOOL DISTRICT,2462,40279
QUABOAG REG SCHOOL DISTRICT,1389,20164
QUAKER VALLEY SCH DIST,1941,44542
QUAKERTOWN COMMUNITY SCH DIST,5289,94986
QUANAH IND SCH DISTRICT 903,552,7911
QUAPAW SCH DIST 14,618,5195
QUARTZSITE SCHOOL DISTRICT 4,221,2209
QUEEN ANNES COUNTY SCHOOLS,7724,117721
QUEEN BEE SCHOOL DISTRICT 16,1927,33274
QUEEN CITY IND SCH DIST 907,1034,10922
QUEEN CREEK SCHOOL DISTRICT 95,5320,42459
QUEENSBURY U F SCH DIST2,3426,55954
QUEETS CLEARWATER SCHOOL DISTRICT 20,30,969
QUEMADO IND SCHOOL DISTRICT,124,4102
QUESTA SCHOOL DISTRICT,396,7444
QUILCENE SCHOOL DISTRICT 48,331,5514
QUILLAYUTE VALLEY SCHOOL DISTRICT,3019,26614
QUINALT SCHOOL DISTRICT 97,170,3450
QUINCY CITY SCHOOLS,9229,160295
QUINCY COMM SCH DIST,1190,11933
QUINCY SCHOOL DISTRICT 144-101,2916,32975
QUINCY SCHOOL DISTRICT 172,6868,75719
QUINLAN IND SCH DIST 908,2542,25989
QUINTER UNIFIED SCHOOL DISTRICT 293,304,4122
QUINTON SCH DIST 17,472,5027
QUINTON TWP SCH DIST,359,7132
QUITMAN CO SCH DIST,320,5187
QUITMAN CO SCH DIST,1183,12372
QUITMAN CONS SCH DIST,1997,20077
QUITMAN IND SCH DIST 904,1101,10989
QUITMAN SCH DIST 21,669,7705
QUOGUE UF SCH DIST,113,7363
R O W V A COMMUNITY UNIT SCHOOL DISTRICT 208,664,7676
RABUN CO SCH DIST,2255,34853
RACELAND INDEP SCH DIST,1083,10160
RACINE UNIFIED SCHOOL DISTRICT 1,19819,281298
RACOON CONSOLIDATED SCHOOL DISTRICT 1,252,2509
RADFORD CITY SCHOOLS,1664,16325
RADNOR TWP SCH DIST,3658,87481
RAHWAY SCHOOL DIST,3743,75725
RAINIER SCH DIST 13,967,10462
RAINIER SCHOOL DISTRICT 307,832,9614
RAINS IND SCH DIST 903,1637,16196
RAISIN CITY ELEM SCH DIST,883,10299
RALEIGH CO SCH DIST,12428,150141
RALLS COUNTY SCH DIST R2,757,6985
RALLS IND SCH DISTRICT 903,585,6911
RALPH C MAHAR REG SCH DIST,816,15033
RALSTON SCH DIST 54,3179,38252
RAMAPO CTL SCH DIST,4518,130668
RAMAPO-INDIAN HILLS REG HIGH SCHOOL DIST,2311,59127
RAMIREZ COMM SCH DISTRICT 905,35,686
RAMONA CITY UNIF SCH DIST,5697,55811
RAMSAY ELEM DIST 3,138,1598
RAMSEY BORO SCH DIST,2879,62600
RAMSEY COMMUNITY UNIT SCHOOL DISTRICT 204,482,5487
RANCHO SANTA FE ELEM SCH DIST,691,13608
RANCOCAS VALLEY REG HIGH SCHOOL DIST,2082,38915
RANDALL JOINT SCHOOL DISTRICT 1,660,7785
RANDOLPH CENTRAL SCHOOL CORPORATION,1517,17326
RANDOLPH CENTRAL SCHOOL DIST,946,19612
RANDOLPH CO SCH,18078,147514
RANDOLPH CO SCH DIST,1031,13864
RANDOLPH CO SCH DIST,4073,47821
RANDOLPH COUNTY SCHOOL DISTRICT,2222,21000
RANDOLPH EASTERN SCHOOL CORPORATION,958,10622
RANDOLPH FIELD IND SCHOOL DISTRICT 906,1293,17995
RANDOLPH SCH DIST 195,636,6924
RANDOLPH SCH DIST 45,248,4588
RANDOLPH SCHOOL DISTRICT,553,6824
RANDOLPH SOUTHERN SCHOOL CORPORATION,515,5939
RANDOLPH TOWN SCH DIST,306,4731
RANDOLPH TOWN SCHS,2904,61544
RANDOLPH TWP SCH DIST,4832,100206
RANDOLPH UNION HIGH SCH DIST 2,432,11027
RANDOM LAKE SCHOOL DISTRICT,844,11972
RANGELY SCHOOL DIST RE-4,542,8197
RANGER IND SCH DIST 907,459,4973
RANKIN CO SCH DIST,19224,169770
RANKIN IND SCH DIST 902,277,43441
RANKIN SCHOOL DISTRICT 98,212,3091
RANTOUL SCHOOL DISTRICT 137,1664,20551
RANTOUL TOWNSHIP HIGH SCHOOL DISTRICT 193,740,12370
RAPELJE ELEM SCH DIST 32,33,582
RAPID CITY AREA SCHOOL DISTRICT 51-4,13875,128228
RAPID RIVER SCHOOL DIST,352,4264
RAPIDES PARISH SCHOOL DISTRICT,23669,244241
RAPPAHANNOCK COUNTY SCHS,919,12822
RATON SCHOOL DISTRICT,975,12390
RATTAN SCH DIST 1,481,5202
RAU ELEM DIST 21,78,1204
RAVENA COEYMANS SELKIRK CENTRAL SCH DIST,1938,44355
RAVENDALE-TERMO ELEMENTARY SCHOOL DISTRICT,665,625
RAVENNA CITY SCH DIST,2611,33948
RAVENNA CITY SCH DIST 69,460,7222
RAVENNA SCH DIST 24,1090,12566
RAVENSWOOD CITY ELEMENTARY SCHOOL DISTRICT,4216,55648
RAVIA SCH DIST 10,94,1031
RAWLINGS COUNTY UNIFIED SCHOOL DISTRICT 105,338,4139
RAY SCHOOL DISTRICT 3,465,3715
RAYMOND CENTRAL SCH DIST 161,581,9514
RAYMOND KNOWLES UNION ELEM SCHOOL DIST,83,966
RAYMOND SCHOOL DIST,1461,22664
RAYMOND SCHOOL DISTRICT 116,645,8245
RAYMOND SCHOOL DISTRICT 14,437,5438
RAYMONDVILLE IND SCH DIST 903,2107,24563
RAYMONDVILLE SCH DIST R-7,205,1944
RAYMORE-PECULIAR SCH DIST R-2,6036,63415
RAYTOWN SCH DIST C-2,9113,109217
READING CMNTY CITY SCH DIST,1663,19135
READING COMM SCH DIST,784,8059
READING SCH DIST,17303,237959
READING TOWN SCH,4407,63902
READING TOWN SCH DIST,54,1075
READINGTON TWP SCH DIST,1751,34722
READSBORO TOWN SCH DIST,78,1333
REAGAN IND SCH DIST 901,888,39037
REARDAN-EDWALL SCHOOL DISTRICT 9,596,6955
REAVIS TOWNSHIP HIGH SCHOOL DISTRICT 220,1866,42153
RECOVERY SCHOOL DISTRICT,46,210027
RECTOR SCHOOL DISTRICT,655,6026
RED BANK BORO SCH DIST,1228,25957
RED BANK REGIONAL HIGH SCH DIST,1224,30146
RED BLUFF UNION ELEM SCH DIST,2163,21568
RED BLUFF UNION HIGH SCHOOL DIST,1601,18251
RED BUD COMMUNITY UNIT SCHOOL DISTRICT 132,1041,15299
RED CLAY CONSOLIDATED SCHOOL DISTRICT,16301,296289
RED CLOUD CITY SCH DIS 2,256,4840
RED CREEK CENTRAL SCHOOL DISTRICT,979,20849
RED HILL COMMUNITY UNIT SCHOOL DISTRICT 10,1046,9812
RED HOOK CENTRAL SCH DIST,1961,49140
RED LAKE COUNTY CENTRAL PUBLIC SCH,382,5984
RED LAKE IND SCH DIST 630,360,5146
RED LAKE SCH DIST 38 JT,1515,32675
RED LICK IND SCH DIST 911,533,4427
RED LION AREA SCH DIST,5316,86963
RED LODGE ELEM SCH DIST 1,312,3892
RED LODGE HIGH SCH DIST 1,165,3243
RED MESA UNIFIED SCHOOL DISTRICT 27,726,9729
RED OAK COMMUNITY SCHOOL DISTRICT,1175,16442
RED OAK IND SCH DIST 911,5629,62744
RED OAK SCH DIST 2,270,2602
RED RIVER PARISH SCHOOL DISTRICT,1488,23814
RED ROCK CENTRAL SCHOOL DISTRICT,392,5278
RED ROCK SCHOOL DISTRICT 5,308,2566
RED WING SCH DIST 256,2854,36163
REDBANK VALLEY SCH DIST,1124,16812
REDDING ELEM SCH DIST,3440,36633
REDDING TOWN SCHOOLS,1001,27219
REDFIELD SCHOOL DISTRICT 56-4,659,6762
REDFORD UNION SCH DIST,2845,41530
REDLANDS UNIF SCH DIST,21326,225679
REDMOND SCH DIST 2J,7347,80679
REDONDO BEACH UNIFIED SCH DT,9364,112248
REDWATER IND SCH DIST 906,1148,11028
REDWOOD AREA SCHOOL DISTRICT,1124,14651
REDWOOD CITY ELEMENTARY SCHOOL DISTRICT,9042,133778
REED CITY SCHOOL DIST 7,1550,15932
REED CUSTER COMMUNITY UNIT DISTRICT 255 U,1631,31823
REED POINT ELEM SCH DIST 9-9,59,740
REED UNION ELEM SCHOOL DIST,1546,24010
REEDPOINT H S DIST 99,27,745
REEDS CREEK ELEM SCH DIST,126,1179
REEDS SPRING SCH DIST R-4,1872,23588
REEDSBURG SCHOOL DISTRICT,2681,33944
REEDSPORT SCH DIST 105,631,8563
REEDSVILLE SCHOOL DISTRICT,578,9747
REEF SUNSET UNIFIED SCHOOL DISTRICT,2606,31156
REESE PUBLIC SCH DIST 7,819,8824
REETHS PUFFER SCH DIST 14,3841,41967
REFUGIO IND SCH DIST 903,752,10912
REGIONAL HIGH SCHOOL DISTRICT 19,1196,26312
REGIONAL HIGH SCHOOL DISTRICT 7,1064,22330
REGIONAL SCHOOL DISTRICT 1,403,13091
REGIONAL SCHOOL DISTRICT 10,2471,44538
REGIONAL SCHOOL DISTRICT 11,269,7353
REGIONAL SCHOOL DISTRICT 12,747,24819
REGIONAL SCHOOL DISTRICT 13,1823,42232
REGIONAL SCHOOL DISTRICT 14,1790,37775
REGIONAL SCHOOL DISTRICT 15,3846,76749
REGIONAL SCHOOL DISTRICT 16,2317,61077
REGIONAL SCHOOL DISTRICT 17,2175,45434
REGIONAL SCHOOL DISTRICT 18,1351,36484
REGIONAL SCHOOL DISTRICT 4,970,21308
REGIONAL SCHOOL DISTRICT 5,2303,50970
REGIONAL SCHOOL DISTRICT 6,965,20953
REGIONAL SCHOOL DISTRICT 8,1649,31916
REGIONAL SCHOOL DISTRICT 9,1049,27390
REGIONAL SCHOOL UNIT 04,1450,21138
REGIONAL SCHOOL UNIT 05,1883,31160
REGIONAL SCHOOL UNIT 13,1942,31794
REGIONAL SCHOOL UNIT 16,1735,23453
REGIONAL SCHOOL UNIT 18,2982,38345
REGIONAL SCHOOL UNIT 19,2169,27374
REGIONAL SCHOOL UNIT 20,2237,39585
REGIONAL SCHOOL UNIT 21,2589,42443
REGIONAL SCHOOL UNIT 23,751,16270
REGIONAL SCHOOL UNIT 24,969,19553
REGIONAL SCHOOL UNIT 25,1098,16696
REGIONAL SCHOOL UNIT 34,1315,21424
REGIONAL SCHOOL UNIT 38,1181,18607
REGIONAL SCHOOL UNIT 50,706,10508
REGIONAL SCHOOL UNIT 67,970,14363
REGIONAL SCHOOL UNIT 68,972,11302
REGIONAL SCHOOL UNIT 73,1551,22004
REGIONAL SCHOOL UNIT 78,188,4083
REGIONAL SCHOOL UNIT 9,2334,36289
REMER IND SCH DIST 118,355,6459
REMINGTON-WHITEWATER UNIFIED SCHOOL DISTRICT 206,524,6780
REMSEN CENTRAL SCH DIST,437,11407
REMSENBURG-SPEONK UNION FREE SCHOOL DIST,159,12303
REMSEN-UNION COMMUNITY SCHOOL DISTRICT,396,5601
RENICK SCH DIST R 5,187,2411
RENSSALAER CITY SCH DIST,1121,21545
RENSSELAER CTL SCHOOL CORPORATION,1662,19523
RENTON SCHOOL DISTRICT 403,15568,218285
RENVILLE COUNTY WEST SCHOOL DISTRICT,519,7683
RENWICK UNIFIED SCHOOL DISTRICT 267,1936,21022
REPUBLIC COUNTY UNIFIED SCHOOL DISTRICT 109,496,5953
REPUBLIC MICHIGAMME SCHL DIST,136,3214
REPUBLIC SCH DIST R 3,4786,46584
REPUBLIC SCHOOL DISTRICT 309,309,4368
REPUBLICAN/TWIN VALLEY PUBLIC SCHOOL DISTRICT 179,294,7071
RESCUE ELEMENTARY SCHOOL DISTRICT,3700,34944
RESERVE IND SCHOOL DISTRICT,131,3999
REVERE CITY SCH,7025,114570
REVERE LOCAL SCH DIST,2595,40138
REYDON SCHOOL DIST 6,141,3717
REYNOLDS SCHOOL DIST,1110,20126
REYNOLDS SCHOOL DIST 7,11750,134684
REYNOLDSBURG CITY SCH DIST,6724,105033
RHEA CO SCH DIST,4443,39046
RHINEBECK CENTRAL SCH,1122,30398
RHINELANDER CITY SCHOOL DISTRICT,2454,35707
RHODES SCHOOL DISTRICT 84-5,727,13073
RIALTO UNIFIED SCH DIST,26225,293027
RIB LAKE JOINT SCHOOL DISTRICT 1,478,6637
RICARDO IND SCH DIST 902,681,6595
RICE CONS IND SCH DISTRICT 903,1259,14887
RICE IND SCH DIST 911,882,9066
RICE LAKE AREA SCHOOL DISTRICT,2215,30731
RICEVILLE COMMUNITY SCHOOL DISTRICT,304,4497
RICH CO SCH DIST,485,7834
RICH HILL SCH DIST R 4,389,4706
RICH TOWNSHIP HIGH SCHOOL DISTRICT 227,3303,74101
RICHARD CITY SPECIAL SCHOOL DIST,285,2525
RICHARDS IND SCH DIST 905,144,1986
RICHARDS SCH DIST R 5,630,5099
RICHARDSON IND SCH DISTRICT 916,38618,386073
RICHARDTON-TAYLOR SCH DIST 34,303,4732
RICHEY ELEM SCH DIST 78J,43,1118
RICHEY H S DIST 2,21,1491
RICHFIELD ELEM SCH DIST,243,2490
RICHFIELD JOINT SCHOOL DISTRICT 1,455,5738
RICHFIELD SCH DIST 280,4469,68363
RICHFIELD SCHOOL DISTRICT 316,199,2184
RICHFIELD SPRGS CTL SCH DIST,506,12305
RICHFORD TOWN SCH DIST,438,6671
RICHGROVE ELEM SCH DIST,651,10824
RICHLAND BEAN BLOSSOM COMMUNITY SCHOOL CORPORATION,2803,32354
RICHLAND COUNTY SCHOOL DISTRICT 1,24556,392743
RICHLAND COUNTY SCHOOL DISTRICT 2,27218,360112
RICHLAND PARISH SCHOOL DISTRICT,3180,34912
RICHLAND PUB SCH DIST 44,277,4726
RICHLAND SCH DIST,1619,21595
RICHLAND SCH DIST R-1,254,3655
RICHLAND SCHOOL DISTRICT,1381,17639
RICHLAND SCHOOL DISTRICT 400,12627,151245
RICHLAND SCHOOL DISTRICT 88A,948,14689
RICHLAND SPRGS IND SCH DST 902,117,2018
RICHLAND-LERDO ELEMENTARY,3530,38416
RICHMOND CITY SCHOOLS,23957,334432
RICHMOND CO SCH,7741,69481
RICHMOND CO SCH DIST,31823,337375
RICHMOND CO SCHS,1225,15878
RICHMOND COMM SCHOOL DIST,1541,16612
RICHMOND COMMUNITY SCHOOL CORPORATION,5666,59737
RICHMOND CONSOLIDATED SCHOOL DISTRICT 157,758,17309
RICHMOND ELEMENTARY SCHOOL DISTRICT,226,1690
RICHMOND HGTS LOCAL SCHOOL DIST,789,14370
RICHMOND SCH DIST R 16,1586,14748
RICHMOND SCHOOL DISTRICT,506,6309
RICHMOND TOWN SCH DIST,273,4698
RICHMOND TOWN SCHS,158,4200
RICHTON MUN SEP SCH DIST,718,5791
RICHWOODS SCHOOL DISTRICT R-7,250,2502
RIDDLE SCH DIST 70,384,4953
RIDGEDALE LOCAL SCH DIST,674,9065
RIDGEFIELD BORO SCH DIST,1733,42596
RIDGEFIELD PARK VIL SCHOOL D,2353,40095
RIDGEFIELD PUBLIC SCHOOLS,5154,105912
RIDGEFIELD SCHOOL DISTRICT 122,2331,26791
RIDGELAND SCHOOL DISTRICT 122,2424,37065
RIDGEMONT SCHOOL DIST,468,17079
RIDGEVIEW COMMUNITY UNIT SCHOOL DISTRICT 19,602,8839
RIDGEWAY SCH DIST R 5,101,1320
RIDGEWOOD COMMUNITY HIGH SCHOOL DISTRICT 234,828,21764
RIDGEWOOD LOCAL SCH DIST,1264,13607
RIDGEWOOD TWP SCHOOL DISTRICT,5675,110021
RIDGWAY AREA SCH DIST,862,13149
RIDGWAY SCH DIST R 2,356,5398
RIDLEY SCH DIST,5477,99097
RIESEL IND SCH DIST 912,596,7109
RILEY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 18,310,5326
RILEY UNIFIED SCHOOL DISTRICT 378,712,8391
RIM WORLD UNIFIED SCH DIST,3695,44023
RINCON VALLEY UNION ELEM SCH DIST,3632,45606
RINGGOLD SCHOOL DIST,2938,43872
RINGLING SCH DIST 14,447,4280
RINGWOOD BORO SCH DIST,1219,26861
RINGWOOD SCH DIST 1,416,3739
RIO BRAVO-GREELEY UNION SCHOOL DIST,1035,10935
RIO COMMUNITY SCHOOL DISTRICT,449,6645
RIO DELL ELEM SCH DIST,331,3267
RIO ELEM SCH DIST,4946,54950
RIO GRANDE CITY IND SCH DIST 901,10905,129455
RIO HONDO IND SCH DIST 911,2183,24125
RIO RANCHO PUBLIC SCHOOLS,17215,159879
RIO VISTA IND SCH DIST 907,762,9066
RIPLEY CENTRAL SCH DIST,177,8992
RIPLEY CO SCH DIST R 4,177,2340
RIPLEY COUNTY SCHOOL DIST R-3,153,1385
RIPLEY SCH DIST 3,458,4948
RIPLEY UNION LEWIS LOCAL SCH DIST,955,12316
RIPON SCHOOL DISTRICT,1692,23307
RIPON UNIFIED SCH DIST,3680,30128
RIPTON TOWN SCH DIST,35,953
RIRIE JOINT SCHOOL DISTRICT 252,703,6043
RISCO SCH DIST R 2,154,2139
RISING STAR IND SCH DISTRICT 908,171,2420
RISING SUN-OHIO COUNTY COMMUNITY,796,8738
RITCHIE CO SCH DIST,1500,17450
RITENOUR SCH DIST,6406,69144
RITTMAN EX VLG SCH DIST,1045,12535
RITZVILLE SCHOOL DISTRICT 160-67,364,4769
RIVENDELL INTERSTATE SCHOOL DISTRICT,270,10645
RIVER BEND COMMUNITY UNIT SCHOOL DISTRICT 2,973,10447
RIVER DELL REGIONAL HIGH SCH DIST,1653,34918
RIVER DELTA UNIFIED SCHOOL DIST,2404,26721
RIVER EDGE BORO SCH DIST,1205,19710
RIVER FALLS SCHOOL DISTRICT,3220,39064
RIVER FOREST COMMUNITY SCHOOL CORPORATION,1386,16901
RIVER FOREST SCHOOL DISTRICT 90,1355,29000
RIVER GROVE SCHOOL DISTRICT 85-5,678,8990
RIVER RD IND SCH DIST 902,1312,14405
RIVER RIDGE COMMUNITY UNIT SCHOOL DISTRICT 210,521,9195
RIVER RIDGE SCHOOL DISTRICT,530,7441
RIVER ROUGE CITY SCHOOL DIST,1486,23572
RIVER TRAILS SCHOOL DISTRICT 26,1433,30767
RIVER VALE TWP SCH DIST,1222,24339
RIVER VALLEY SCH DIST,604,10214
RIVER VALLEY SCH DIST,1959,20681
RIVER VALLEY SCHOOL DISTRICT,452,6172
RIVER VALLEY SCHOOL DISTRICT,1309,18836
RIVER VIEW LOCAL SCH DIST,2048,25086
RIVERBANK UNIFIED SCHOOL DISTRICT,2835,34891
RIVERCREST INDEPENDENT SCH DIST,677,7878
RIVERDALE BORO SCH DIST,324,8294
RIVERDALE COMMUNITY UNIT SCHOOL DISTRICT 100,1159,11860
RIVERDALE JOINT UNIFIED SCHOOL DISTRICT,1620,18072
RIVERDALE LOCAL SCHOOL DISTRICT,975,12213
RIVERDALE SCH DIST 51J,588,9836
RIVERDALE SCHOOL DISTRICT,680,10339
RIVERHEAD CENTRAL SCHOOL DIST,5216,127499
RIVERSIDE BEAVER CO SCH DIST,1471,22791
RIVERSIDE CO SPL SCHS OPER BY CO SUPT,7629,273202
RIVERSIDE COMMUNITY SCHOOL DISTRICT,730,9727
RIVERSIDE LOCAL SCH DIST,691,9307
RIVERSIDE LOCAL SCHOOL DISTRICT,4377,47290
RIVERSIDE PUBLIC SCHOOLS,235,9296
RIVERSIDE REGIONAL SCHOOL UNIT 26,574,12496
RIVERSIDE RICH VAL SCH DIST 29,169,2048
RIVERSIDE SCH DIST,838,8481
RIVERSIDE SCHOOL DIST,1552,23275
RIVERSIDE SCHOOL DISTRICT 2,869,14358
RIVERSIDE SCHOOL DISTRICT 416,1493,17210
RIVERSIDE SCHOOL DISTRICT 96,1687,31941
RIVERSIDE TWP SCHOOL DIST,1404,25033
RIVERSIDE UNIFIED SCHOOL DIST,42339,440923
RIVERSIDE UNIFIED SCHOOL DISTRICT 114,745,8442
RIVERSIDE-BROOKFIELD DISTRICT 208,1584,32758
RIVERTON BORO SCH DIST,295,5987
RIVERTON COMMUNITY UNIT SCHOOL DISTRICT 14,1425,15619
RIVERTON UNIFIED SCHOOL DISTRICT 404,767,9236
RIVERVIEW COMM SCH DIST,2776,27360
RIVERVIEW COMMUNITY CONSOLIDATED SCHOOL DISTRICT 2,241,2295
RIVERVIEW GARDENS SCHOOL DIST,6020,63379
RIVERVIEW SCH DIST,998,21224
RIVERVIEW SCHOOL DISTRICT,1409,15162
RIVERVIEW SCHOOL DISTRICT 407,3278,39050
RIVIERA IND SCH DIST 903,429,5219
ROANE CO SCH DIST,2378,24340
ROANE CO SCHOOL DISTRICT,7008,60234
ROANOKE BENSON COMMUNITY UNIT SCHOOL DISTRICT 60,528,7085
ROANOKE CITY SCHOOL DISTRICT,1541,13475
ROANOKE CITY SCHOOLS,13649,190429
ROANOKE CO SCHS,14384,159320
ROANOKE RAPIDS CITY SCHOOLS,3028,27982
ROARING FORK SCH DIST RE 1,5613,69117
ROBBINSDALE SCH DIST 281,12593,193146
ROBBINSTON TOWN SCHOOLS,74,412
ROBBINSVILLE SCHOOL DISTRICT,2953,48179
ROBEIN SCHOOL DISTRICT 85,141,2068
ROBERT LEE IND SCH DISTRICT 902,275,5103
ROBERTS FERRY UNION ELEM SCHOOL DIST,117,1453
ROBERTS K-12 SCHOOL DISTRICT,121,1629
ROBERTSON CO SCH DIST,377,7017
ROBERTSON CO SCH DIST,11636,96403
ROBESON CO SCH,24090,217908
ROBIN HILL SCH DIST 16,280,2048
ROBINSON COMMUNITY UNIT SCHOOL DISTRICT 2,1626,18977
ROBINSON IND SCH DIST 922,2319,23209
ROBLA ELEM SCH DIST,2231,27129
ROBSTOWN IND SCH DIST 909,2887,35160
ROBY IND SCH DISTRICT 903,277,3622
ROCHELLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 231,1749,22454
ROCHELLE IND SCH DIST 904,204,3215
ROCHELLE PARK SCH DIST,465,13164
ROCHELLE TOWNSHIP HIGH SCHOOL DIST212,952,18723
ROCHESTER AREA SCH DIST,734,16840
ROCHESTER CITY SCH DIST,30014,770527
ROCHESTER CITY SCHOOL DISTRICT,4245,64946
ROCHESTER COMM SCHS,14897,188664
ROCHESTER COMMUNITY SCHOOL CORPORATION,1883,21294
ROCHESTER COMMUNITY UNIT SCHOOL DISTRICT 3 A,2321,24581
ROCHESTER PUBLIC SCHS,476,8320
ROCHESTER SCH DIST 535,17008,217694
ROCHESTER SCHOOL DISTRICT 401,2252,26046
ROCHESTER TOWN SCH DIST,109,3241
ROCK CO HIGH SCH DIST 100,207,4078
